vp	file	rhotic_label	rhotic_start	rhotic_end	rhotic_dur	rhotic_mid	no_closures_total	rhotic_centre_of_gravity	rhotic_sd	rhotic_skewness	rhotic_kurtosis	rhotic_central_moment	rhotic_intensity	rhotic_intensity_norm
23	vp023_Ohne_Fruehstueck0	a_t_2_v	1.298008755991833	1.3558546907786666	0.05784593478683364	0.7068503127827501	1	3769.77	2695.2	0.36	-1	7048839155.62	74.78	81.67
23	vp023_Ohne_Frust0	a_t_2_v	1.098119847475079	1.1626045323705883	0.06448468489550918	0.6135446086330487	1	6586.22	3724.7	-0.25	-1.45	-13026331127.37	75.47	83.16
23	vp023_Ohne_Granate0	a_t_2_v	1.0897409422356021	1.1494836755331137	0.05974273329751156	0.6046132044153126	1	4204.16	3447.79	0.86	-0.72	35279894272.29	74.14	81.89
23	vp023_Ohne_Grube0	a_t_2_v	1.1596672041471556	1.236328624327189	0.0766614201800333	0.6564950222536111	1	2949.82	3506.36	1.4	0.31	60453269313.95	75.53	83.8
23	vp023_Ohne_Hubschrauber0	a_t_2_v	1.2425790378661583	1.30712	0.06454096213384175	0.6858304810669209	1	1473.9	913.27	1.6	8.79	1219541426.53	72	78.42
23	vp023_Ohne_Instrument0	a_t_2_v	1.2786870702277082	1.3278283414053293	0.049141271177621126	0.6884848062914752	2	705.73	771.01	7.99	67.62	3662520482.32	74.24	81.83
23	vp023_Ohne_Konfrontation0	a_t_2_v	1.2427008605987724	1.2839057286779414	0.04120486807916901	0.6625552983785552	1	1431.23	767.1	1.15	4.06	518086695.52	72.63	80.54
23	vp023_Ohne_Krabbe0	a_t_2_v	1.1319183295661122	1.171030186662987	0.039111857096874925	0.605071021879931	1	3290.73	3232.8	1.26	0.33	42630244437.68	70.89	78.94
23	vp023_Ohne_Krieger0	a_t_2_v	1.1630210823674496	1.2194815896706377	0.05646050730318808	0.6379710484869129	1	3286.6	2771.62	1.22	0.99	25936956964.39	77.47	83.81
23	vp023_Ohne_Krippe0	a_t_2_v	1.1187005030848074	1.169302481334082	0.05060197824927459	0.6099522297916783	1	3374.72	3128.56	1.16	0.21	35389142845.54	78.1	84.91
23	vp023_Ohne_Kristall0	a_t_2_v	1.0560425079182905	1.0994463300950998	0.04340382217680938	0.5714250761359546	1	2735.33	3079.57	1.6	1.19	46595078214.94	75.11	83.67
23	vp023_Ohne_Kritik0	a_t_2_v	1.0509562381852364	1.092175362437698	0.04121912425246155	0.5666972433450798	1	4226.79	3269.71	0.82	-0.54	28603212755.83	75.37	84.91
23	vp023_Ohne_Kritiker0	a_t_2_v	1.3584258739183144	1.4061152828254984	0.04768940890718398	0.7269023458663412	1	4244.43	3385.24	0.82	-0.52	31871308564.72	78.52	86.26
23	vp023_Ohne_Kroatien0	a_t_2_v	1.2416845340520024	1.2929875882837725	0.05130305423177006	0.6721453212577713	1	3081.36	3065.07	1.47	0.97	42227571895.26	76.12	84.28
23	vp023_Ohne_Kroete0	a_t_2_v	1.2585479723748132	1.30712	0.048572027625186864	0.6778460138125935	2	4373.16	3623.8	0.65	-1.15	30988994796.86	74.68	83.4
23	vp023_Ohne_Krokant0	a_t_2_v	1.0188346792756076	1.0489343415761634	0.03009966230055583	0.5395170019383596	1	4112.49	3576.83	0.82	-0.74	37346026927.76	73.26	81.83
23	vp023_Ohne_Kroketten0	a_t_2_v	1.1538430438459002	1.18712	0.03327695615409976	0.6101984780770499	1	3188.15	3467.81	1.32	0.14	55011948716.16	71.2	78.62
23	vp023_Ohne_Krokodil0	a_t_2_v	1.1991729687683217	1.2415223257770838	0.04234935700876208	0.6419358413929229	1	2300.53	2494.89	1.94	2.94	30177471199.07	73.24	83.89
23	vp023_Ohne_Kuehlschrank0	a_t_2_v	1.352681950301078	1.4074914660447335	0.054809515743655446	0.7311504908941945	1	1167.35	1060.71	3.25	16.69	3877759080.79	69.02	77.77
23	vp023_Ohne_Luftfracht0	a_t_2_v	1.4497987517603979	1.4923541033763505	0.0425553516159527	0.7674547274961516	1	987.95	632.23	5.02	41.68	1268486830.55	72.31	78.71
23	vp023_Ohne_Manuskript0	a_t_2_v	1.276749159721982	1.3331227002366415	0.05637354051465948	0.6947481203756505	1	1300.55	1137.33	2.84	12.83	4181395377.48	70.45	77.66
23	vp023_Ohne_Nachricht0	a_t_2_v	1.4931266943159678	1.5566436805685628	0.06351698625259505	0.810080333410579	1	752.68	697.8	9.01	96.46	3059740425.07	66.54	77.07
23	vp023_Ohne_Praesentation0	a_t_2_v	1.1705880210767259	1.2124394969624384	0.041851475885712475	0.6271454864240754	1	746.83	1117.07	6.84	47.7	9533317684.33	72.3	80.38
23	vp023_Ohne_Praesident0	a_t_2_v	1.0579021034232239	1.105896042287982	0.04799393886475811	0.57694499057637	1	3416.65	3411.47	1.2	0.07	47706514495.88	75.4	85.44
23	vp023_Ohne_Praktikant0	a_t_2_v	0.8906361338981441	0.9236121713119072	0.03297603741376309	0.47829410436283515	1	821	936.79	6.35	45.98	5219056481.74	66.44	72.93
23	vp023_Ohne_Prinzessin0	a_t_2_v	1.2263906733981373	1.2763425584778396	0.049951885079702274	0.663147221778771	1	4122.07	3472.8	0.8	-0.84	33361011985.62	74.99	81.83
23	vp023_Ohne_Professor0	a_t_1_v	1.0960384147559843	1.1218283927091977	0.02578997795321336	0.5738091853312055	1	3938.64	3580.38	0.9	-0.78	41203753930	68.97	77.92
23	vp023_Ohne_Profi0	a_t_2_v	1.0258054095803837	1.0729292653702382	0.04712385578985456	0.5600265605800464	1	2625.15	2987.63	1.67	1.58	44634258039.94	74.13	82.61
23	vp023_Ohne_Protein0	a_t_2_v	1.0748187613794975	1.109847752538369	0.03502899115887148	0.5724383718486202	1	589.92	824.07	11.48	140.53	6425411485.3	70.51	79.99
23	vp023_Ohne_Rahmen0	a_t_2_v	1.1253962266671294	1.2215096058596555	0.09611337919252616	0.6588114925260908	1	2958.44	3282.93	1.24	0.22	43792395269.58	66.91	76.67
23	vp023_Ohne_Rat0	a_t_2_v	1.0263467057557285	1.1154085494729011	0.08906184371717263	0.6022351965950369	2	2712.2	2921.69	1.77	1.93	44189020831.26	71.31	77.35
23	vp023_Ohne_Regenschirm0	a_t_2_v	1.2759434624085164	1.3496341996170595	0.07369073720854313	0.7116624684128013	1	1870.48	2316.6	2.42	5.32	30119283917.01	71.65	80.18
23	vp023_Ohne_Region0	a_t_2_v	1.0461686682179976	1.1207897912532105	0.07462112303521296	0.5977054571442117	1	3249.09	3337.81	1.1	-0.21	41063062485.01	70.45	79.28
23	vp023_Ohne_Rekord0	a_t_2_v	0.9689583509062047	1.0087035764420018	0.03974522553579707	0.5242244009888994	2	2788.91	2468.74	1.29	1.11	19456672877.81	67.8	76.89
23	vp023_Ohne_Religion0	a_t_2_v	0.972215249676539	1.055257247414471	0.08304199773793197	0.5691496225762015	1	756.76	868.21	8.8	86.03	5756721923.64	68.95	78.54
23	vp023_Ohne_Rentier0	a_t_2_v	1.151024590996164	1.2916713101675659	0.1406467191714018	0.7161590146694838	1	3649.71	3210.65	0.84	-0.46	27649522829.79	72.37	79.43
23	vp023_Ohne_Riese0	a_t_2_v	1.168375024214892	1.2927033137317303	0.12432828951683828	0.7085158016242843	1	1772.12	2527.26	2.54	5.36	41063759184.61	68.74	79.79
23	vp023_Ohne_Ring0	a_t_2_v	1.1192324662873525	1.233982073359242	0.11474960707188941	0.6743658402155657	1	929.66	1024.05	4.67	24.54	5016124435.18	72.91	80.52
23	vp023_Ohne_Rippe0	a_t_2_v	1.169159081164847	1.2723607924359814	0.10320171127113453	0.687781251853558	1	3765.05	3686.74	1	-0.66	50336382757.67	73.59	81.17
23	vp023_Ohne_Rivale0	a_t_2_v	1.1573705277289583	1.266469122454211	0.10909859472525274	0.6877838585897319	1	3602.97	3060.05	1	-0.15	28709178343.03	73.48	81.02
23	vp023_Ohne_Robotik0	a_t_2_v	0.9896072699974587	1.0910891629319948	0.10148189293453602	0.5962855279332654	1	2872.3	1868.43	0.39	0.45	2540098360.66	69.98	78.67
23	vp023_Ohne_Romantik0	a_t_2_v	0.99712	1.07712	0.08000000000000007	0.5785600000000001	1	2889.77	3004.16	1.42	0.8	38606464090.84	71.22	81.08
